occupation_code,occupation_name,display_level,selectable,sort_sequence
111011,Chief Executives,3,T,3
111021,General and Operations Managers,3,T,4
111031,Legislators,3,T,5
112011,Advertising and Promotions Managers,3,T,7
112021,Marketing Managers,3,T,9
112022,Sales Managers,3,T,10
113021,Computer and Information Systems Managers,3,T,14
113031,Financial Managers,3,T,15
113051,Industrial Production Managers,3,T,16
113061,Purchasing Managers,3,T,17
113071,"Transportation, Storage, and Distribution Managers",3,T,18
113111,Compensation and Benefits Managers,3,T,19
113121,Human Resources Managers,3,T,20
113131,Training and Development Managers,3,T,21
119013,"Farmers, Ranchers, and Other Agricultural Managers",3,T,23
119021,Construction Managers,3,T,24
119031,"Education and Childcare Administrators, Preschool and Daycare",3,T,26
119032,"Education Administrators, Kindergarten through Secondary",3,T,27
119033,"Education Administrators, Postsecondary",3,T,28
119039,"Education Administrators, All Other",3,T,29
119041,Architectural and Engineering Managers,3,T,30
119051,Food Service Managers,3,T,31
119071,Gambling Managers,3,T,32
119081,Lodging Managers,3,T,33
119111,Medical and Health Services Managers,3,T,34
119121,Natural Sciences Managers,3,T,35
119131,Postmasters and Mail Superintendents,3,T,36
119141,"Property, Real Estate, and Community Association Managers",3,T,37
119151,Social and Community Service Managers,3,T,38
119161,Emergency Management Directors,3,T,39
119171,Funeral Home Managers,3,T,40
119198,"Personal Service Managers, Entertainment Managers, Except Gambling; and Managers, All Other",3,T,41
131011,"Agents and Business Managers of Artists, Performers, and Athletes",3,T,44
131031,"Claims Adjusters, Examiners, and Investigators",3,T,47
131032,"Insurance Appraisers, Auto Damage",3,T,48
131041,Compliance Officers,3,T,49
131051,Cost Estimators,3,T,50
131071,Human Resources Specialists,3,T,52
131074,Farm Labor Contractors,3,T,53
131075,Labor Relations Specialists,3,T,54
131081,Logisticians,3,T,55
131111,Management Analysts,3,T,56
131121,"Meeting, Convention, and Event Planners",3,T,57
131131,Fundraisers,3,T,58
131141,"Compensation, Benefits, and Job Analysis Specialists",3,T,59
131151,Training and Development Specialists,3,T,60
131161,Market Research Analysts and Marketing Specialists,3,T,61
131198,"Project Management Specialists and Business Operations Specialists, All Other",3,T,62
132011,Accountants and Auditors,3,T,64
132031,Budget Analysts,3,T,66
132041,Credit Analysts,3,T,67
132052,Personal Financial Advisors,3,T,68
132053,Insurance Underwriters,3,T,69
132061,Financial Examiners,3,T,70
132071,Credit Counselors,3,T,72
132072,Loan Officers,3,T,73
132081,"Tax Examiners and Collectors, and Revenue Agents",3,T,75
132082,Tax Preparers,3,T,76
132098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",3,T,77
151211,Computer Systems Analysts,3,T,81
151212,Information Security Analysts,3,T,82
151221,Computer and Information Research Scientists,3,T,83
151231,Computer Network Support Specialists,3,T,85
151232,Computer User Support Specialists,3,T,86
151241,Computer Network Architects,3,T,88
151244,Network and Computer Systems Administrators,3,T,89
151245,Database Administrators and Architects,3,T,90
151251,Computer Programmers,3,T,92
151256,Software Developers and Software Quality Assurance Analysts and Testers,3,T,93
151257,Web Developers and Digital Interface Designers,3,T,94
151299,"Computer Occupations, All Other",3,T,95
152011,Actuaries,3,T,97
152021,Mathematicians,3,T,98
152031,Operations Research Analysts,3,T,99
152041,Statisticians,3,T,100
152098,"Data Scientists and Mathematical Science Occupations, All Other",3,T,101
171011,"Architects, Except Landscape and Naval",3,T,105
171012,Landscape Architects,3,T,106
171021,Cartographers and Photogrammetrists,3,T,108
171022,Surveyors,3,T,109
172011,Aerospace Engineers,3,T,111
172021,Agricultural Engineers,3,T,112
172031,Bioengineers and Biomedical Engineers,3,T,113
172041,Chemical Engineers,3,T,114
172051,Civil Engineers,3,T,115
172061,Computer Hardware Engineers,3,T,116
172071,Electrical Engineers,3,T,118
172072,"Electronics Engineers, Except Computer",3,T,119
172081,Environmental Engineers,3,T,120
