area_code,industry_code,occupation_code,value
0010180,000000,111021,1100.0
0010180,000000,112022,110.0
0010180,000000,113021,50.0
0010180,000000,113031,150.0
0010180,000000,113051,40.0
0010180,000000,113071,80.0
0010180,000000,113121,60.0
0010180,000000,119021,110.0
0010180,000000,119032,160.0
0010180,000000,119051,50.0
0010180,000000,119111,220.0
0010180,000000,119141,40.0
0010180,000000,119151,60.0
0010180,000000,119198,30.0
0010180,000000,131031,50.0
0010180,000000,131041,80.0
0010180,000000,131051,80.0
0010180,000000,131071,160.0
0010180,000000,131081,50.0
0010180,000000,131111,80.0
0010180,000000,131131,30.0
0010180,000000,131151,90.0
0010180,000000,131161,0.0
0010180,000000,131198,500.0
0010180,000000,132011,430.0
0010180,000000,132052,110.0
0010180,000000,132072,140.0
0010180,000000,132082,60.0
0010180,000000,132098,70.0
0010180,000000,151211,60.0
0010180,000000,151231,60.0
0010180,000000,151232,170.0
0010180,000000,151244,100.0
0010180,000000,151251,50.0
0010180,000000,151256,90.0
0010180,000000,151299,40.0
0010180,000000,172051,120.0
0010180,000000,172071,60.0
0010180,000000,172072,0.0
0010180,000000,172141,50.0
0010180,000000,173011,50.0
0010180,000000,173012,0.0
0010180,000000,173023,0.0
0010180,000000,173031,40.0
0010180,000000,173098,60.0
0010180,000000,193031,50.0
0010180,000000,195011,60.0
0010180,000000,195012,30.0
0010180,000000,211012,200.0
0010180,000000,211015,0.0
0010180,000000,211018,90.0
0010180,000000,211021,200.0
0010180,000000,211022,130.0
0010180,000000,211023,0.0
0010180,000000,211092,100.0
0010180,000000,211093,290.0
0010180,000000,212011,30.0
0010180,000000,231011,130.0
0010180,000000,232011,140.0
0010180,000000,271024,50.0
0010180,000000,271026,50.0
0010180,000000,273031,100.0
0010180,000000,291021,60.0
0010180,000000,291051,150.0
0010180,000000,291071,60.0
0010180,000000,291122,90.0
0010180,000000,291123,280.0
0010180,000000,291126,0.0
0010180,000000,291127,120.0
0010180,000000,291141,1630.0
0010180,000000,291151,0.0
0010180,000000,291171,100.0
0010180,000000,291215,30.0
0010180,000000,291216,0.0
0010180,000000,291228,170.0
0010180,000000,291292,80.0
0010180,000000,292034,130.0
0010180,000000,292052,180.0
0010180,000000,292055,50.0
0010180,000000,292056,110.0
0010180,000000,292057,90.0
0010180,000000,292061,650.0
0010180,000000,292081,30.0
0010180,000000,292098,180.0
0010180,000000,311131,780.0
0010180,000000,312021,0.0
0010180,000000,312022,110.0
0010180,000000,319091,200.0
0010180,000000,319092,350.0
0010180,000000,319093,50.0
0010180,000000,319094,40.0
0010180,000000,319097,110.0
0010180,000000,413011,50.0
0010180,000000,413021,190.0
0010180,000000,413031,0.0
0010180,000000,413091,370.0
0010180,000000,414012,540.0
0010180,000000,419022,50.0
0010180,000000,431011,650.0
0010180,000000,433011,40.0
0010180,000000,433021,230.0
0010180,000000,433031,610.0
0010180,000000,433051,60.0
0010180,000000,433061,50.0
0010180,000000,433071,440.0
0010180,000000,434031,70.0
0010180,000000,434051,1360.0
0010180,000000,434061,60.0
0010180,000000,434071,70.0
0010180,000000,434111,0.0
0010180,000000,434131,120.0
0010180,000000,434141,90.0
0010180,000000,434161,60.0
0010180,000000,434171,390.0
0010180,000000,434199,130.0
0010180,000000,436011,180.0
0010180,000000,436012,40.0
0010180,000000,436013,890.0
0010180,000000,436014,1440.0
0010180,000000,439021,50.0
0010180,000000,439041,230.0
0010180,000000,439061,1920.0
0010380,000000,111011,80.0
0010380,000000,111021,210.0
0010380,000000,113021,50.0
0010380,000000,113031,120.0
0010380,000000,113051,50.0
0010380,000000,113071,40.0
0010380,000000,113121,50.0
0010380,000000,119032,140.0
0010380,000000,119033,70.0
0010380,000000,119041,40.0
0010380,000000,119051,90.0
0010380,000000,119111,40.0
0010380,000000,119151,30.0
0010380,000000,119198,160.0
0010380,000000,131041,230.0
0010380,000000,131071,170.0
0010380,000000,131081,40.0
0010380,000000,131111,40.0
0010380,000000,131151,30.0
0010380,000000,131161,40.0
0010380,000000,131198,100.0
0010380,000000,132011,200.0
0010380,000000,132072,100.0
0010380,000000,132098,80.0
0010380,000000,151211,70.0
0010380,000000,151232,230.0
0010380,000000,151256,0.0
0010380,000000,151299,40.0
0010380,000000,172051,40.0
0010380,000000,172061,210.0
0010380,000000,172112,290.0
0010380,000000,173023,90.0
0010380,000000,173026,90.0
0010380,000000,194021,30.0
0010380,000000,194031,40.0
0010380,000000,211012,70.0
0010380,000000,211021,180.0
0010380,000000,211093,90.0
0010380,000000,231011,50.0
0010380,000000,291051,100.0
0010380,000000,291123,0.0
0010380,000000,291126,50.0
0010380,000000,291141,650.0
0010380,000000,291215,40.0
0010380,000000,291228,0.0
0010380,000000,292034,90.0
0010380,000000,292052,0.0
0010380,000000,292061,140.0
0010380,000000,292081,80.0
0010380,000000,292098,70.0
0010380,000000,312021,50.0
0010380,000000,319091,140.0
0010380,000000,319095,0.0
0010380,000000,413091,0.0
0010380,000000,414012,390.0
0010380,000000,419041,860.0
0010380,000000,431011,640.0
0010380,000000,433011,80.0
0010380,000000,433021,220.0
0010380,000000,433031,310.0
0010380,000000,433071,230.0
0010380,000000,434051,720.0
0010380,000000,434081,90.0
0010380,000000,434131,70.0
0010380,000000,434171,140.0
0010380,000000,434199,80.0
0010380,000000,436011,240.0
0010380,000000,436012,110.0
0010380,000000,436013,600.0
0010380,000000,436014,1020.0
0010380,000000,439021,90.0
0010380,000000,439022,120.0
0010380,000000,439041,0.0
0010380,000000,439061,930.0
0010420,000000,111011,280.0
0010420,000000,111021,4090.0
0010420,000000,111031,60.0
0010420,000000,112021,410.0
0010420,000000,112022,750.0
0010420,000000,113021,1030.0
0010420,000000,113031,1450.0
0010420,000000,113051,800.0
0010420,000000,113061,160.0
0010420,000000,113071,430.0
0010420,000000,113111,50.0
0010420,000000,113121,300.0
0010420,000000,113131,50.0
0010420,000000,119021,490.0
0010420,000000,119031,100.0
0010420,000000,119032,610.0
0010420,000000,119033,400.0
0010420,000000,119039,50.0
0010420,000000,119041,520.0
0010420,000000,119051,390.0
0010420,000000,119081,50.0
0010420,000000,119111,900.0
0010420,000000,119121,50.0
0010420,000000,119141,470.0
0010420,000000,119151,340.0
0010420,000000,119198,0.0
0010420,000000,131031,790.0
0010420,000000,131041,580.0
0010420,000000,131051,660.0
0010420,000000,131071,1640.0
0010420,000000,131075,370.0
0010420,000000,131081,540.0
0010420,000000,131111,1280.0
0010420,000000,131121,150.0
0010420,000000,131131,200.0
0010420,000000,131141,150.0
0010420,000000,131151,530.0
0010420,000000,131161,1660.0
0010420,000000,131198,2510.0
0010420,000000,132011,2610.0
0010420,000000,132031,60.0
0010420,000000,132041,50.0
0010420,000000,132052,440.0
0010420,000000,132053,170.0
0010420,000000,132061,130.0
0010420,000000,132071,70.0
0010420,000000,132072,350.0
0010420,000000,132082,150.0
0010420,000000,132098,740.0
0010420,000000,151211,1440.0
0010420,000000,151212,180.0
0010420,000000,151231,580.0
0010420,000000,151232,1450.0
0010420,000000,151241,200.0
0010420,000000,151244,850.0
0010420,000000,151245,270.0
0010420,000000,151251,240.0
0010420,000000,151256,2570.0
0010420,000000,151257,260.0
0010420,000000,151299,690.0
0010420,000000,152011,0.0
0010420,000000,152031,170.0
0010420,000000,152041,0.0
0010420,000000,152098,0.0
0010420,000000,171011,160.0
0010420,000000,171022,90.0
0010420,000000,172011,0.0
0010420,000000,172041,130.0
0010420,000000,172051,470.0
0010420,000000,172061,80.0
0010420,000000,172071,820.0
0010420,000000,172072,110.0
0010420,000000,172081,70.0
0010420,000000,172111,40.0
0010420,000000,172112,870.0
0010420,000000,172131,200.0
0010420,000000,172141,1220.0
0010420,000000,172199,380.0
0010420,000000,173011,250.0
0010420,000000,173012,70.0
0010420,000000,173013,180.0
0010420,000000,173019,70.0
0010420,000000,173021,0.0
0010420,000000,173022,250.0
0010420,000000,173023,160.0
0010420,000000,173026,0.0
0010420,000000,173027,130.0
0010420,000000,173031,90.0
0010420,000000,173098,160.0
0010420,000000,191031,40.0
0010420,000000,191042,160.0
0010420,000000,192031,220.0
0010420,000000,192032,30.0
0010420,000000,192041,210.0
0010420,000000,193031,410.0
0010420,000000,193051,60.0
0010420,000000,194021,100.0
0010420,000000,194031,190.0
0010420,000000,194042,40.0
0010420,000000,194092,70.0
0010420,000000,194099,100.0
0010420,000000,195011,270.0
0010420,000000,195012,60.0
0010420,000000,211012,730.0
0010420,000000,211013,0.0
0010420,000000,211015,440.0
0010420,000000,211018,260.0
0010420,000000,211021,0.0
0010420,000000,211022,620.0
0010420,000000,211023,320.0
